code,name,lat,lon
JNS, Narsaq, 60.916668, -46.058613
JAV,Ilulissat,69.2405466,-51.06637929999999
SFJ,Kangerlussuaq,67.0106003,-50.7109637000000
KUS,Kulusuk,65.574514,-37.1349041
GOH,Nuuk,64.19170249999999,-51.674192999999995
UAK,Narsarsuaq,61.161400199999996,-45.4178059
CNP,Nerlerit Inaat,70.7414774,-22.6488201
MES,Mestersvig,72.23658680000001,-23.93350125
DNK,Danmarkshavn,62.88759999999999,-45.9472
NOR,Nord,81.65709975,-17.229909050000003
THU,Thule Air Base,76.53330760000001,-68.6999101
JJU,Upernavik,72.78999999999999,-56.13055
POL,Polar Continental Shelf Program,74.71840999999999,-94.9842101
IKA,Iqaluit,63.75525379999999,-68.5506214
AEY,Akureyri,65.6546699,-18.0756873
